State,County,Diocese,DioceseState,AlsoIn
AK,aleutians east,Archdiocese of Anchorage–Juneau,AK,
AK,aleutians west,Archdiocese of Anchorage–Juneau,AK,
AK,anchorage,Archdiocese of Anchorage–Juneau,AK,
AK,bethel,Diocese of Fairbanks,AK,
AK,bristol bay,Archdiocese of Anchorage–Juneau,AK,
AK,chugach,Archdiocese of Anchorage–Juneau,AK,
AK,copper river,Archdiocese of Anchorage–Juneau,AK,
AK,denali,Diocese of Fairbanks,AK,
AK,dillingham,Archdiocese of Anchorage–Juneau,AK,
AK,fairbanks north star,Diocese of Fairbanks,AK,
AK,haines,Archdiocese of Anchorage–Juneau,AK,
AK,hoonahangoon,Archdiocese of Anchorage–Juneau,AK,
AK,juneau city and,Archdiocese of Anchorage–Juneau,AK,
AK,kenai peninsula,Archdiocese of Anchorage–Juneau,AK,
AK,ketchikan gateway,Archdiocese of Anchorage–Juneau,AK,
AK,kodiak island,Archdiocese of Anchorage–Juneau,AK,
AK,kusilvak,Diocese of Fairbanks,AK,
AK,lake and peninsula,Archdiocese of Anchorage–Juneau,AK,
AK,matanuskasusitna,Archdiocese of Anchorage–Juneau,AK,
AK,nome,Diocese of Fairbanks,AK,
AK,north slope,Diocese of Fairbanks,AK,
AK,northwest arctic,Diocese of Fairbanks,AK,
AK,petersburg,Archdiocese of Anchorage–Juneau,AK,
AK,prince of waleshyder,Archdiocese of Anchorage–Juneau,AK,
AK,sitka city and,Archdiocese of Anchorage–Juneau,AK,
AK,skagway,Archdiocese of Anchorage–Juneau,AK,
AK,southeast fairbanks,Diocese of Fairbanks,AK,
AK,wrangell city and,Archdiocese of Anchorage–Juneau,AK,
AK,yakutat city and,Archdiocese of Anchorage–Juneau,AK,
AK,yukonkoyukuk,Diocese of Fairbanks,AK,
AL,autauga,Archdiocese of Mobile,AL,
AL,baldwin,Archdiocese of Mobile,AL,
AL,barbour,Archdiocese of Mobile,AL,
AL,bibb,Diocese of Birmingham,AL,
AL,blount,Diocese of Birmingham,AL,
AL,bullock,Archdiocese of Mobile,AL,
AL,butler,Archdiocese of Mobile,AL,
AL,calhoun,Diocese of Birmingham,AL,
AL,chambers,Diocese of Birmingham,AL,
AL,cherokee,Diocese of Birmingham,AL,
AL,chilton,Diocese of Birmingham,AL,
AL,choctaw,Archdiocese of Mobile,AL,
AL,clarke,Archdiocese of Mobile,AL,
AL,clay,Diocese of Birmingham,AL,
AL,cleburne,Diocese of Birmingham,AL,
AL,coffee,Archdiocese of Mobile,AL,
AL,colbert,Diocese of Birmingham,AL,
AL,conecuh,Archdiocese of Mobile,AL,
AL,coosa,Diocese of Birmingham,AL,
AL,covington,Archdiocese of Mobile,AL,
AL,crenshaw,Archdiocese of Mobile,AL,
AL,cullman,Diocese of Birmingham,AL,
AL,dale,Archdiocese of Mobile,AL,
AL,dallas,Archdiocese of Mobile,AL,
AL,dekalb,Diocese of Birmingham,AL,
AL,elmore,Archdiocese of Mobile,AL,
AL,escambia,Archdiocese of Mobile,AL,
AL,etowah,Diocese of Birmingham,AL,
AL,fayette,Diocese of Birmingham,AL,
AL,franklin,Diocese of Birmingham,AL,
AL,geneva,Archdiocese of Mobile,AL,
AL,greene,Diocese of Birmingham,AL,
AL,hale,Diocese of Birmingham,AL,
AL,henry,Archdiocese of Mobile,AL,
AL,houston,Archdiocese of Mobile,AL,
AL,jackson,Diocese of Birmingham,AL,
AL,jefferson,Diocese of Birmingham,AL,
AL,lamar,Diocese of Birmingham,AL,
AL,lauderdale,Diocese of Birmingham,AL,
AL,lawrence,Diocese of Birmingham,AL,
AL,lee,Archdiocese of Mobile,AL,
AL,limestone,Diocese of Birmingham,AL,
AL,lowndes,Archdiocese of Mobile,AL,
AL,macon,Archdiocese of Mobile,AL,
AL,madison,Diocese of Birmingham,AL,
AL,marengo,Diocese of Birmingham,AL,
AL,marion,Diocese of Birmingham,AL,
AL,marshall,Diocese of Birmingham,AL,
AL,mobile,Archdiocese of Mobile,AL,
AL,monroe,Archdiocese of Mobile,AL,
AL,montgomery,Archdiocese of Mobile,AL,
AL,morgan,Diocese of Birmingham,AL,
AL,perry,Diocese of Birmingham,AL,
AL,pickens,Diocese of Birmingham,AL,
AL,pike,Archdiocese of Mobile,AL,
AL,randolph,Diocese of Birmingham,AL,
AL,russell,Archdiocese of Mobile,AL,
AL,shelby,Diocese of Birmingham,AL,
AL,st clair,Diocese of Birmingham,AL,
AL,sumter,Diocese of Birmingham,AL,
AL,talladega,Diocese of Birmingham,AL,
AL,tallapoosa,Diocese of Birmingham,AL,
AL,tuscaloosa,Diocese of Birmingham,AL,
AL,walker,Diocese of Birmingham,AL,
AL,washington,Archdiocese of Mobile,AL,
AL,wilcox,Archdiocese of Mobile,AL,
AL,winston,Diocese of Birmingham,AL,
AR,arkansas,Diocese of Little Rock,AR,
AR,ashley,Diocese of Little Rock,AR,
AR,baxter,Diocese of Little Rock,AR,
AR,benton,Diocese of Little Rock,AR,
AR,boone,Diocese of Little Rock,AR,
AR,bradley,Diocese of Little Rock,AR,
AR,calhoun,Diocese of Little Rock,AR,
AR,carroll,Diocese of Little Rock,AR,
AR,chicot,Diocese of Little Rock,AR,
AR,clark,Diocese of Little Rock,AR,
