Name,City,State
Archdiocese of Anchorage–Juneau,Anchorage,AK
Diocese of Fairbanks,Fairbanks,AK
Archdiocese of Mobile,Mobile,AL
Diocese of Birmingham,Birmingham,AL
Diocese of Little Rock,Little Rock,AR
Diocese of Samoa–Pago Pago,Pago Pago,AS
Diocese of Phoenix,Phoenix,AZ
Diocese of Tucson,Tucson,AZ
Archdiocese of Los Angeles,Los Angeles,CA
Archdiocese of San Francisco,San Francisco,CA
Diocese of Fresno,Fresno,CA
Diocese of Monterey,Monterey,CA
Diocese of Oakland,Oakland,CA
Diocese of Orange,Orange,CA
Diocese of Sacramento,Sacramento,CA
Diocese of San Bernardino,San Bernardino,CA
Diocese of San Diego,San Diego,CA
Diocese of San Jose,San Jose,CA
Diocese of Santa Rosa,Santa Rosa,CA
Diocese of Stockton,Stockton,CA
Archdiocese of Denver,Denver,CO
Diocese of Colorado Springs,Colorado Springs,CO
Diocese of Pueblo,Pueblo,CO
Archdiocese of Hartford,Hartford,CT
Diocese of Bridgeport,Bridgeport,CT
Diocese of Norwich,Norwich,CT
Archdiocese of Washington,Washington,DC
Diocese of Wilmington,Wilmington,DE
Archdiocese of Miami,Miami,FL
Diocese of Orlando,Orlando,FL
Diocese of Palm Beach,Palm Beach Gardens,FL
Diocese of Pensacola–Tallahassee,Pensacola,FL
Diocese of St. Augustine,St. Augustine,FL
Diocese of St. Petersburg,St. Petersburg,FL
Diocese of Venice in Florida,Venice,FL
Archdiocese of Atlanta,Atlanta,GA
Diocese of Savannah,Savannah,GA
Archdiocese of Agaña,Hagåtña,GU
Diocese of Honolulu,Honolulu,HI
Archdiocese of Dubuque,Dubuque,IA
Diocese of Davenport,Davenport,IA
Diocese of Des Moines,Des Moines,IA
Diocese of Sioux City,Sioux City,IA
Diocese of Boise,Boise,ID
Archdiocese of Chicago,Chicago,IL
Diocese of Belleville,Belleville,IL
Diocese of Joliet,Joliet,IL
Diocese of Peoria,Peoria,IL
Diocese of Rockford,Rockford,IL
Diocese of Springfield in Illinois,Springfield,IL
Archdiocese of Indianapolis,Indianapolis,IN
Diocese of Evansville,Evansville,IN
Diocese of Fort Wayne–South Bend,Fort Wayne,IN
Diocese of Gary,Gary,IN
Diocese of Lafayette in Indiana,Lafayette,IN
Archdiocese of Kansas City in Kansas,Kansas City,KS
Diocese of Dodge City,Dodge City,KS
Diocese of Salina,Salina,KS
Diocese of Wichita,Wichita,KS
Archdiocese of Louisville,Louisville,KY
Diocese of Covington,Covington,KY
Diocese of Lexington,Lexington,KY
Diocese of Owensboro,Owensboro,KY
Archdiocese of New Orleans,New Orleans,LA
Diocese of Alexandria,Alexandria,LA
Diocese of Baton Rouge,Baton Rouge,LA
Diocese of Houma–Thibodaux,Houma,LA
Diocese of Lafayette in Louisiana,Lafayette,LA
Diocese of Lake Charles,Lake Charles,LA
Diocese of Shreveport,Shreveport,LA
Archdiocese of Boston,Boston,MA
Diocese of Fall River,Fall River,MA
Diocese of Springfield in Massachusetts,Springfield,MA
Diocese of Worcester,Worcester,MA
Archdiocese of Baltimore,Baltimore,MD
Diocese of Portland,Portland,ME
Archdiocese of Detroit,Detroit,MI
Diocese of Gaylord,Gaylord,MI
Diocese of Grand Rapids,Grand Rapids,MI
Diocese of Kalamazoo,Kalamazoo,MI
Diocese of Lansing,Lansing,MI
Diocese of Marquette,Marquette,MI
Diocese of Saginaw,Saginaw,MI
Archdiocese of Saint Paul and Minneapolis,Saint Paul,MN
Diocese of Crookston,Crookston,MN
Diocese of Duluth,Duluth,MN
Diocese of New Ulm,New Ulm,MN
Diocese of Saint Cloud,St. Cloud,MN
Diocese of Winona–Rochester,Winona,MN
Archdiocese of St. Louis,St. Louis,MO
Diocese of Jefferson City,Jefferson City,MO
Diocese of Kansas City–Saint Joseph,Kansas City,MO
Diocese of Springfield–Cape Girardeau,Springfield,MO
Diocese of Chalan Kanoa,Chalan Kanoa,MP
Diocese of Biloxi,Biloxi,MS
Diocese of Jackson,Jackson,MS
Diocese of Great Falls–Billings,Great Falls,MT
Diocese of Helena,Helena,MT
Diocese of Charlotte,Charlotte,NC
Diocese of Raleigh,Raleigh,NC
Diocese of Bismarck,Bismarck,ND
Diocese of Fargo,Fargo,ND
Archdiocese of Omaha,Omaha,NE
Diocese of Grand Island,Grand Island,NE
Diocese of Lincoln,Lincoln,NE
Diocese of Manchester,Manchester,NH
Archdiocese of Newark,Newark,NJ
Diocese of Camden,Camden,NJ
Diocese of Metuchen,Metuchen,NJ
Diocese of Paterson,Paterson,NJ
Diocese of Trenton,Trenton,NJ
Archdiocese of Santa Fe,Santa Fe,NM
Diocese of Gallup,Gallup,NM
Diocese of Las Cruces,Las Cruces,NM
Archdiocese of Las Vegas,Las Vegas,NV
Diocese of Reno,Reno,NV
Archdiocese of New York,New York,NY
Diocese of Albany,Albany,NY
Diocese of Brooklyn,Brooklyn,NY
Diocese of Buffalo,Buffalo,NY
Diocese of Ogdensburg,Ogdensburg,NY
Diocese of Rochester,Rochester,NY
Diocese of Rockville Centre,Rockville Centre,NY
Diocese of Syracuse,Syracuse,NY
Archdiocese of Cincinnati,Cincinnati,OH
Diocese of Cleveland,Cleveland,OH
Diocese of Columbus,Columbus,OH
Diocese of Steubenville,Steubenville,OH
Diocese of Toledo in Ohio,Toledo,OH
Diocese of Youngstown,Youngstown,OH
Archdiocese of Oklahoma City,Oklahoma City,OK
Diocese of Tulsa,Tulsa,OK
Archdiocese of Portland in Oregon,Portland,OR
Diocese of Baker,Baker City,OR
